wavelength,absorptivity_lactate,absorptivity_protein,absorptivity_water
2164,54.18536314723875,29.9175226295543,27.61910060092088
2165,53.91474162967721,30.373078324247743,27.507590363319984
2166,53.59969580917006,31.679185905934595,27.409347901286015
2167,53.2559914663636,32.915748699381105,27.318493981534598
2168,52.934287749912365,33.09684884035486,27.218317366180614
2169,52.66483574359344,33.5673573511443,27.132192469875292
2170,52.32742123245288,34.758731047531924,27.06557041463346
2171,52.034580163178305,34.24777409631165,26.97764234347892
2172,51.72404850933135,34.31023488830488,26.88199583922567
2173,51.43105603814732,34.07960530372321,26.805551794610277
2174,51.123417529705094,34.3326342448181,26.73621143692344
2175,50.87110077975353,33.94052620791145,26.65456181108519
2176,50.559214128007,33.8474282518973,26.572439068376674
2177,50.29054609792411,33.469720802446275,26.508794111403738
2178,49.9484227302835,33.138814655043504,26.428966880640235
2179,49.67191911606978,32.836720258161826,26.34480317384358
2180,49.34722930295913,32.4343471364252,26.293377344121303
2181,49.00144802968787,31.76135204521879,26.24230157259897
2182,48.67393321633102,32.07092385269847,26.17124833953001
2183,48.35838205112004,30.70277175697034,26.104639648889574
2184,48.083250479539416,29.994775192324056,26.054926370095924
2185,47.76571870692438,29.333520145407224,26.000759676129476
2186,47.400299859698016,28.561140443830965,25.93506481171005
2187,47.10491373808396,27.778275976477943,25.892043854603696
2188,46.80729806814866,26.02888187994338,25.848861120482976
2189,46.52774540557046,24.730050951896505,25.780469238108058
2190,46.17497401548802,23.566599496101382,25.729300602192474
2191,45.78588362596453,22.576411949384664,25.700675567019026
2192,45.52946542733912,21.203753669879344,25.667781668043084
2193,45.2151571183595,20.77355960188932,25.621240633353857
2194,44.882103313267805,19.455687591185814,25.583827754627954
2195,44.49830853187834,18.62329553223484,25.55774050816281
2196,44.2084831886472,16.840568508856194,25.513970992788614
2197,43.918043701367665,16.55965389644701,25.47921478298779
2198,43.564761056325615,15.370326086217624,25.463771741925946
2199,43.2092617257932,15.382546149161922,25.435669796832006
2200,42.97919024895659,13.676110557639795,25.394437600141064
2201,42.704679859848845,12.891339086890529,25.365381936596012
2202,42.44340503220048,11.875673282675915,25.356615794200163
2203,42.05629229120916,11.381334071819827,25.338737616220985
2204,41.83210231451046,10.461751115685644,25.317279638457205
2205,41.53310166166887,10.106838597361108,25.316657566170324
2206,41.229710026794045,8.976363231990701,25.304260756658014
2207,40.91220483834178,9.136867916450608,25.279553192205828
2208,40.63426479268244,7.505423403221022,25.270363183381857
2209,40.37856038031853,7.690931263368891,25.27433900081941
2210,40.098555227543315,7.087279618291102,25.269609032136398
2211,39.794734794042824,5.493173094225918,25.24774079184526
2212,39.57574973321785,4.8127856618932014,25.243793702375065
2213,39.33670441995677,4.313845545302827,25.247174512442488
2214,39.099817130018906,4.297264159355084,25.239785857162882
2215,38.83599906301911,3.507122635604927,25.24568836892752
2216,38.55017384769213,2.771482848441239,25.26952607800539
2217,38.339403256195276,2.053984307477408,25.28249973172586
2218,38.17052760594567,1.766651241733471,25.280393624853772
2219,37.9460708236062,1.138178086506476,25.290700625338044
2220,37.73584843005987,1.0348083501506942,25.316192286439108
2221,37.524210722267554,0.2393824500310022,25.326538737421682
2222,37.42212250509483,0.0406878069066787,25.3335058216889
2223,37.3007252233618,-0.139247004916013,25.354788184720473
2224,37.19014555204792,-0.7024437548142364,25.376551055061807
2225,37.1015144089084,-0.5951872049724789,25.383518210520897
2226,37.09335603962687,-1.2216300922718533,25.406148248613988
2227,37.09721810408969,-0.7762064757063147,25.453224418237095
2228,37.19731034114202,-1.0806526260240152,25.489601624881715
2229,37.241169363664014,-0.6465867228884197,25.516899537728143
2230,37.426270595365324,-1.0909534325996917,25.54831875969069
2231,37.618418032761944,-0.5983195198136368,25.59180004884442
2232,37.872819116434435,-1.5283786206666246,25.62189719146225
2233,38.17796028144772,-0.4633693090013777,25.650210669121634
2234,38.52062486872093,-0.5671665746235617,25.698384900637425
2235,38.943055229142736,0.5051775405408971,25.740439485309476
2236,39.502293066141334,0.6804446287651669,25.771708245295518
2237,40.04274014105795,0.3299630500731689,25.808570981523822
2238,40.645346694552664,1.5693684502091192,25.863859102037765
2239,41.34094938630842,1.6693017412149138,25.92932457503689
2240,42.112229202674214,2.371229619709888,25.975456152014335
2241,42.95554816857245,2.412629645474589,26.039821253228062
2242,43.711257294529744,3.434206438638666,26.103044677070752
2243,44.5714880200878,4.434836127688722,26.150844681284237
2244,45.60212974393824,4.886759276787495,26.20076028444195
2245,46.560159932861126,4.662591700515647,26.26509981337886
2246,47.61931092567207,6.047481119406558,26.34279913631438
2247,48.72747698482816,7.394166900824045,26.398011986735934
2248,50.05772610632374,7.808432752690494,26.453378192229177
2249,51.39835098867652,9.004411845975678,26.525479682852573
2250,52.68274312926605,9.344958893657244,26.603217864884407
2251,54.11349022662873,11.684939455973884,26.674490554556286
2252,55.70801061070792,11.683681274715148,26.762560336530456
2253,57.06369716702275,13.129275674989362,26.858687707481305
2254,58.45766101016224,13.443264711211237,26.938155576297603
2255,59.82002394581431,14.641866503166948,27.00623010779075
2256,61.18226671233678,15.472233286324444,27.083423080311878
2257,62.37273594503755,16.308381403689854,27.183451468331803
2258,63.43581549226956,16.757944184059642,27.27236859851811
2259,64.39565111865765,17.236522419863366,27.35907587462698
2260,65.24772686538452,17.99173725425034,27.4567278432185
2261,65.82339648289131,18.134339083407085,27.550729764810747
2262,66.28657625592753,18.482174047944294,27.645693933616478
2263,66.52428218771362,18.362554318935043,27.743445468973587
2264,66.50822379543804,19.21130378046525,27.862843046799885
2265,66.30552802853371,19.740610398855303,27.98627667270704
2266,65.85588732017355,19.64412469632609,28.085915984358902
2267,65.26264475785837,20.81266567791705,28.189529144857936
2268,64.49797870242486,21.16072308381436,28.300155241389938
2269,63.416419249816045,22.5003097830878,28.414044855795503
2270,62.435383889493956,22.997915968409107,28.52304437488451
2271,61.44672436007298,24.17723555709011,28.64591155608645
2272,60.33487713658331,24.579870218439293,28.77781805751036
2273,59.2713410422683,25.862290647758737,28.90567577040697
2274,58.15546890622913,26.040299592871037,29.013525965576797
2275,57.20137453741631,26.790241039700145,29.139552213708583
2276,56.41680562189211,28.385095043587263,29.28643249959135
2277,55.60983638238517,28.45160942065997,29.429409135950852
2278,54.93556905689852,29.999538943797408,29.57220991522085
2279,54.55819128124083,30.480678749204603,29.70806620621129
2280,54.31241714181121,31.37199260503085,29.84890659320142
2281,54.420527781714924,32.14607450511949,29.981822047834065
2282,54.70824791815572,32.882538106519235,30.117122260346722
2283,55.16942452862607,34.356179315798585,30.277670470390746
2284,56.03964650387565,35.58662671279155,30.44302455445646
2285,57.11613122388458,36.32306487848194,30.59615354788099
2286,58.58363077854426,36.96227025970898,30.740752160765414
2287,60.46598613182888,37.86274928592079,30.897321414667896
2288,62.48756975701919,38.00011782033824,31.056207642885322
2289,64.72054092889923,38.52770072570736,31.226363776247123
2290,67.41952480865841,38.39790629271294,31.402239782400947
2291,70.19886163040118,37.114243249203874,31.584766355474397
2292,73.17895876304962,37.59432318248487,31.755961835915443
2293,76.03853443233461,36.15524824326901,31.90586767190203
2294,78.75083541175492,35.35856117699687,32.08299068083446
2295,81.5140002567672,33.71211705827362,32.26561175435441
2296,83.98759710351098,32.28386964483559,32.460236063523645
2297,86.27790428347329,31.24772943770608,32.645669869652856
2298,88.15871161124733,29.70027177964351,32.835097855127096
2299,89.427073150861,28.41277950768489,33.02894539524934
2300,90.18121691767455,27.2283304270222,33.21409592194679
2301,90.42039323097863,26.071480871362148,33.39552580681573
2302,89.88371419174415,24.324869180508877,33.59675256145931
2303,88.86113241188602,23.708872287774696,33.8206452260573
2304,87.22678518256272,22.566174631616743,34.03360075634646
2305,84.89161665887977,21.86903874006704,34.23446085045324
2306,82.26302757332208,21.30663672247582,34.427830153932604
2307,79.31757344827443,19.635231608676538,34.6403848926064
2308,76.20306778955674,19.516277516387444,34.85464619782711
2309,73.41099797516777,18.65364953869248,35.06660757978966
2310,70.41996451862234,17.636152843598385,35.29069437206126
2311,67.53170636035625,17.325121122666015,35.5262610028961
2312,65.30979718328138,16.19324502454367,35.74202853524168
2313,63.36213062271751,15.331884285714088,35.95559358916905
2314,61.927054924826685,14.760711487534476,36.173506651914785
2315,60.77869094290489,14.14423113228967,36.41473879909836
2316,59.83749579740804,12.577416673783112,36.661118622906606
2317,59.286632726371145,12.192084148287035,36.90072291123917
2318,58.919681710483786,11.898872064054167,37.14990521330857
2319,58.58391107075198,10.702068035536492,37.3858178195368
2320,58.41577300184593,10.117496385932393,37.62309605947369
2321,58.23320884932788,8.634105449392722,37.85569121094256
2322,57.99803109037012,8.938898469165318,38.09945857461746
2323,57.871346936865166,8.399451252661189,38.35799806586212
2324,57.52090639851022,7.781051946131516,38.62138908084064
2325,57.08171079789379,8.346232902330371,38.87583630915183
2326,56.801976413424306,8.094407692311698,39.13107983740625
2327,56.2464055203851,7.567414511899126,39.380175016320266
2328,55.72594906397338,7.665610471027811,39.645479596300284
2329,55.25324724531916,8.202624613009647,39.91410488486901
2330,54.65146470361554,7.604449213407157,40.183580984709415
2331,54.211836203606225,7.552285266486314,40.46523217539707
2332,53.88005415398111,7.925550599221189,40.746549796791534
2333,53.37093175384746,7.581258097348806,41.01825169841081
2334,53.027186117535194,8.17138861992787,41.277543733831905
2335,52.83978282426508,7.6099018980001,41.55648626859779
2336,52.57637382520775,7.43422459298662,41.83934723502995
2337,52.565208280529006,8.674927212399153,42.13316162721537
2338,52.64949863006399,7.85292072262497,42.4143058168795
2339,52.566756137275625,8.297527293161721,42.70724589543998
2340,52.73725169019475,8.849704400862448,43.00313292103404
2341,52.87183836243058,8.184086421267253,43.28747234159865
2342,52.906760437281534,7.883259310465767,43.57388086212921
2343,53.19386266732336,7.730410353726079,43.883804615977574
2344,53.260787102639284,7.454618818818528,44.18923511180019
2345,53.174655949293395,6.078555000421295,44.50337976313772
2346,53.30439712494489,5.3892485604788165,44.80996087090143
2347,53.2509755986763,4.29793286770466,45.116303369562715
2348,53.039941386738434,3.6325136332580623,45.424272424178625
2349,53.003230144954664,3.1748365855718235,45.72494917769828
